Area,2015-16,2016-17,2017-18,2018-19,2019-20
Victoria,"24,228","24,231","25,061","25,604","27,966"
Alfredton,"26,521","25,939","27,711","28,005","29,828"
Ballarat,"23,838","23,400","24,165","24,587","26,091"
Ballarat - North,"23,543","24,180","26,238","26,277","28,012"
Ballarat - South,"22,004","22,350","22,445","23,014","25,412"
Buninyong,"25,635","26,507","27,582","27,272","29,811"
Delacombe,"24,657","26,215","26,208","27,209","29,617"
Smythes Creek,"26,380","28,178","29,008","30,996","32,141"
Wendouree - Miners Rest,"24,546","24,348","24,370","25,916","27,042"
Bacchus Marsh Region,"24,985","25,791","27,802","27,824","31,711"
Creswick - Clunes,"19,805","20,000","21,196","21,422","23,409"
Daylesford,"17,624","17,959","19,047","19,600","21,527"
Gordon (Vic.),"22,852","23,296","24,563","25,252","28,072"
Avoca,"13,279","14,848","16,454","16,385","17,500"
Beaufort,"16,577","18,330","17,730","18,974","20,800"
Golden Plains - North,"22,196","22,205","22,784","23,567","26,684"
Maryborough (Vic.),"21,137","21,744","21,322","22,970","25,988"
Maryborough Region,"15,833","16,876","17,339","17,909","20,828"
Bendigo,"21,172","21,655","22,263","23,949","25,664"
California Gully - Eaglehawk,"21,923","23,304","25,000","25,897","28,544"
East Bendigo - Kennington,"22,167","20,941","23,219","24,357","28,107"
Flora Hill - Spring Gully,"20,192","20,740","21,979","23,940","25,690"
Kangaroo Flat - Golden Square,"23,803","23,621","25,870","26,579","28,187"
Maiden Gully,"25,693","28,457","28,369","29,430","32,000"
Strathfieldsaye,"25,000","25,994","28,876","28,537","32,268"
White Hills - Ascot,"25,377","24,927","27,905","28,432","31,086"
Bendigo Region - South,"23,944","24,119","26,577","27,048","28,717"
Castlemaine,"19,922","19,310","20,485","21,492","22,544"
Castlemaine Region,"18,562","18,738","19,959","19,733","21,779"
Heathcote,"18,671","18,828","20,307","20,985","23,790"
Kyneton,"22,329","22,609","23,149","24,000","26,116"
Woodend,"26,310","27,695","28,643","28,688","31,655"
Bendigo Region - North,"21,003","20,607","22,965","23,214","27,530"
Loddon,"13,494","15,998","19,824","19,587","20,917"
Bannockburn,"26,142","28,050","28,592","29,363","32,675"
Golden Plains - South,"21,889","22,671","23,103","25,846","26,923"
Winchelsea,"18,298","17,248","19,791","21,866","22,345"
Belmont,"21,927","20,769","21,996","23,323","25,123"
Corio - Norlane,"22,170","21,000","21,063","21,863","24,105"
Geelong,"23,397","22,405","23,151","23,067","24,459"
Geelong West - Hamlyn Heights,"24,977","25,006","26,680","28,412","29,507"
Grovedale,"23,454","23,384","23,826","24,474","26,264"
Highton,"23,088","23,996","23,120","24,318","26,008"
Lara,"27,676","28,001","28,876","30,669","33,543"
Leopold,"26,000","25,927","26,909","28,298","29,767"
Newcomb - Moolap,"22,578","21,486","23,312","23,722","25,522"
Newtown (Vic.),"23,494","25,000","24,832","25,000","27,373"
North Geelong - Bell Park,"24,769","24,888","24,723","26,359","27,429"
Clifton Springs,"24,294","24,071","25,000","26,750","28,205"
Lorne - Anglesea,"15,788","16,195","17,371","16,725","18,602"
Ocean Grove - Barwon Heads,"23,996","24,498","25,429","25,636","27,423"
Portarlington,"20,925","20,882","20,861","22,327","25,240"
Point Lonsdale - Queenscliff,"17,977","18,517","18,512","19,909","23,087"
Torquay,"22,450","22,864","23,665","25,557","27,973"
Alexandra,"15,644","17,794","18,588","18,950","21,237"
Euroa,"13,536","15,588","16,371","15,791","18,463"
Kilmore - Broadford,"25,447","26,267","27,899","28,323","31,822"
Mansfield (Vic.),"13,890","13,766","14,953","16,306","18,125"
Nagambie,"19,293","19,909","21,174","22,408","22,140"
Seymour,"21,505","21,836","25,560","24,790","27,221"
Seymour Region,"21,841","23,384","24,990","26,578","28,277"
Upper Yarra Valley,"17,278","18,411","25,572","24,440","23,328"
Yea,"17,709","19,633","19,675","20,800","22,084"
Benalla,"19,564","22,263","23,140","21,928","25,622"
Benalla Region,"14,413","15,281","15,691","16,168","18,438"
Rutherglen,"20,650","20,810","23,653","21,461","25,802"
Wangaratta,"22,307","22,629","23,990","24,593","27,693"
Wangaratta Region,"17,388","17,757","18,048","18,066","20,000"
Beechworth,"18,288","17,310","17,636","17,861","20,332"
Bright - Mount Beauty,"12,693","12,526","14,127","13,979","15,920"
Chiltern - Indigo Valley,"23,720","22,338","26,673","24,812","25,543"
Myrtleford,"16,547","17,000","16,705","17,492","19,692"
Towong,"18,964","19,314","17,762","19,195","21,105"
West Wodonga,"26,540","26,823","26,473","27,135","30,237"
Wodonga,"25,170","25,014","25,371","26,652","29,746"
Yackandandah,"20,000","20,000","20,960","21,888","23,664"
Drouin,"23,015","22,478","24,856","25,369","27,492"
Mount Baw Baw Region,"19,705","19,257","20,053","20,101","22,570"
