Area,2015-16,2016-17,2017-18,2018-19,2019-20
Victoria,"4,652.20","4,864.30","5,015.30","5,219.90","5,199.70"
Alfredton,9,9.8,10.2,11,11.8
Ballarat,9.8,9.9,9.8,10.2,10.2
Ballarat - North,17.1,17.7,18,18.6,18.6
Ballarat - South,16.1,16.9,17.2,18.3,18.1
Buninyong,5.2,5.4,5.4,5.6,5.6
Delacombe,5.2,5.5,5.8,6.6,7.2
Smythes Creek,3.2,3.3,3.3,3.5,3.4
Wendouree - Miners Rest,9.1,9.3,9.6,10,10.2
Bacchus Marsh Region,4.5,4.9,4.9,5,5
Creswick - Clunes,5.5,5.8,5.7,6,6
Daylesford,6.7,7.1,7,7.2,7.4
Gordon (Vic.),4.5,4.8,5,5.1,5
Avoca,2.4,2.4,2.5,2.5,2.4
Beaufort,2.9,3.1,3.1,3.3,3.3
Golden Plains - North,3.1,3.3,3.4,3.6,3.5
Maryborough (Vic.),4.3,4.4,4.6,4.6,4.5
Maryborough Region,3.3,3.4,3.5,3.5,3.4
Bendigo,11.2,11,11.2,11.4,11.2
California Gully - Eaglehawk,8,8.5,8.6,8.9,8.9
East Bendigo - Kennington,9.7,10.3,10.2,10.6,10.3
Flora Hill - Spring Gully,6.9,7.2,7.4,7.5,7.4
Kangaroo Flat - Golden Square,13.6,14.1,14.1,14.5,14.6
Maiden Gully,4.1,4.1,4.2,4.4,4.5
Strathfieldsaye,6.8,7.3,7.3,7.8,8
White Hills - Ascot,9.1,9.8,10.1,10.6,10.7
Bendigo Region - South,5.4,5.8,5.9,6.2,6.4
Castlemaine,7.2,7.4,7.3,7.5,7.6
Castlemaine Region,6.1,6.4,6.6,6.9,7
Heathcote,2.8,3,3.1,3.1,3.2
Kyneton,7.3,7.7,7.9,8.2,8.3
Woodend,5.4,5.6,5.7,6,5.9
Bendigo Region - North,3.2,3.4,3.5,3.6,3.6
Loddon,4.7,5,5,5,5
Bannockburn,5,5.2,5.5,5.7,5.7
Golden Plains - South,5.5,5.8,6,6.1,6.4
Winchelsea,4.9,5.2,5.2,5.4,5.5
Belmont,10.7,11.4,11.8,12,12.2
Corio - Norlane,15.3,16.3,17.1,17.7,17.8
Geelong,11,11.4,11.5,12,12.1
Geelong West - Hamlyn Heights,15.7,16.6,17.2,17.6,17.9
Grovedale,17.6,20.1,21.9,24.1,26.3
Highton,17,17.9,18.6,18.9,19.2
Lara,13.4,14,14.7,14.9,15.1
Leopold,9.5,10,10.1,10.1,10
Newcomb - Moolap,10.1,10.7,11,11.3,11.2
Newtown (Vic.),8.6,8.7,8.8,9.1,9
North Geelong - Bell Park,10.2,10.9,11.4,11.7,11.8
Clifton Springs,9.4,10.2,10.6,11,11.7
Lorne - Anglesea,4.2,4.3,4.3,4.5,4.6
Ocean Grove - Barwon Heads,18.1,19.7,20.5,21.8,22.9
Portarlington,4.3,4.6,4.8,5.2,5.4
Point Lonsdale - Queenscliff,2.8,3,3.2,3.2,3.4
Torquay,15.3,16.3,17.1,17.9,18.6
Alexandra,5,5,5.1,5.1,5.1
Euroa,5.2,5.1,5.2,5.3,5.1
Kilmore - Broadford,9.9,10.5,10.7,11.2,11.2
Mansfield (Vic.),7.3,7.8,8,8,7.9
Nagambie,3,3.2,3.4,3.5,3.5
Seymour,4.5,4.6,4.6,4.7,4.5
Seymour Region,3,3.2,3.3,3.5,3.4
Upper Yarra Valley,0.1,0.1,0.1,0.1,0.1
Yea,2.7,2.7,2.8,2.8,2.9
Benalla,7.3,7.1,7.2,7.6,7.6
Benalla Region,3.1,3.2,3.3,3.3,3.3
Rutherglen,3.1,3.2,3.2,3.3,3.2
Wangaratta,13.8,14.1,14.3,14.5,14.6
Wangaratta Region,8.5,8.8,8.8,9.1,8.9
Beechworth,3.7,3.8,3.9,4.1,4
Bright - Mount Beauty,6.9,7.3,7.3,7.7,7.4
Chiltern - Indigo Valley,2.6,2.8,2.7,2.8,2.8
Myrtleford,4,4.1,4.2,4.2,4.3
Towong,5,5.1,5.3,5.2,5
West Wodonga,11.4,11.5,11.9,12.2,11.8
Wodonga,18.8,19.8,20.3,20.9,21
Yackandandah,4,4.1,4.2,4.3,4.4
Drouin,11.2,12.2,12.5,13.4,13.7
Mount Baw Baw Region,4.8,4.9,5,5.2,5.2
Trafalgar (Vic.),6.2,6.4,6.3,6.5,6.3
Warragul,14.8,15.2,15.6,16.7,17
Alps - East,np,0,0,0,0
Bairnsdale,10.4,10.5,10.6,10.9,10.8
Bruthen - Omeo,6.3,6.5,6.6,6.8,6.9
Lake King,np,np,np,np,np
Lakes Entrance,6.6,6.7,6.8,6.7,7
Orbost,4.4,4.4,4.5,4.7,4.8
Paynesville,3.8,3.8,3.9,4.1,4.3
Foster,6.4,6.5,6.6,6.8,6.7
French Island,0.1,0.1,0.1,0.1,0.1
Korumburra,6.8,7,7.2,7.7,7.4
Leongatha,8.2,8.4,8.6,8.9,8.6
Phillip Island,7.4,8.1,8.4,8.6,8.9
Wilsons Promontory,np,0,0,0,0
Wonthaggi - Inverloch,14.5,15,15.5,16.4,17
Churchill,8.5,8.8,9,8.9,8.7
Moe - Newborough,10.6,10.9,10.9,11.3,11
Morwell,8.1,8,8.1,8.3,8.2
Traralgon,20.4,20.9,21.3,21.8,21.4
Yallourn North - Glengarry,3.6,3.8,3.9,3.9,3.8
Alps - West,0,0,0,0,0
Longford - Loch Sport,2.9,3,3.1,3.1,3.2
Maffra,10.9,10.9,11,11.3,11.3
Rosedale,3.1,3.4,3.3,3.4,3.3
Sale,10.7,10.7,10.9,11,10.8
Yarram,3.9,3.9,4,4,4
Brunswick,27.9,29.7,30.2,32,30.5
Brunswick East,12.1,13.3,13.7,14.5,14.5
Brunswick West,13.2,14.2,14.7,15.1,14.9
Coburg,23.6,24.3,25,25.9,25.3
Pascoe Vale South,7.9,8.5,8.7,9.1,9
Alphington - Fairfield,8,8.6,8.7,9,8.8
Northcote,24,25.3,25.8,26.9,25.4
Thornbury,17.3,17.7,18.5,18.9,18.5
Ascot Vale,12.8,13.7,14,14.5,13.9
Essendon - Aberfeldie,24.2,25.2,25.6,26.3,26.3
Flemington,8.6,9.1,9.7,10.1,9.7
Moonee Ponds,12.7,13.1,13.5,14.2,14.8
Carlton,14.1,14.6,15.4,16.2,15.7
Docklands,10.8,13.1,14.8,16.8,16.9
East Melbourne,5.5,5.5,5.5,5.8,5.4
Flemington Racecourse,0.1,0.1,0.1,0.1,0.1
Kensington (Vic.),10.8,11.3,11.2,11.7,11.5
Melbourne,39.5,43.5,47.6,50.8,48.2
North Melbourne,19.9,21.7,23.3,25,24.8
Parkville,5.6,6,6.5,6.7,6.7
South Yarra - West,5.9,6.6,10.2,7.7,7.4
Southbank,19.7,21,23,25.5,26.9
West Melbourne,np,0,0,0,0
Albert Park,14.3,15,15.4,15.8,15.5
Elwood,16.7,17.2,16.9,17.2,16.9
Port Melbourne,14.7,15,14.8,15.1,14.3
Port Melbourne Industrial,0.2,0.3,0.6,1.1,1.6
South Melbourne,11.4,11.9,12.5,13.1,12.4
St Kilda,32.6,35.1,36.5,37.9,36.6
St Kilda East,18.4,19.7,20.4,20.9,20
Armadale,8.2,8.6,9,9.3,9
Prahran - Windsor,25.6,24.3,23.9,24.1,23.2
South Yarra - East,22,23.6,24.2,24.7,23.9
Toorak,11.7,11.7,11.8,11.8,11.4
Abbotsford,9.5,10.5,10.3,10.7,10.5
Carlton North - Princes Hill,9.1,9.4,9.4,9.6,9
Collingwood,9.1,10,10.1,10.8,10.6
Fitzroy,11.5,12,12,12.3,11.7
Fitzroy North,12.9,13.6,13.5,14,13.4
Richmond (Vic.),32.7,34,34.4,35.4,34.3
Yarra - North,8.9,9.2,9.2,9.6,9.4
Ashburton (Vic.),5.9,6.1,6.2,6.3,6.1
Balwyn,12.3,12.6,12.7,12.7,12.5
Balwyn North,15.5,15.8,15.8,16.1,15.7
Camberwell,17.4,17.7,17.7,17.9,17.7
Glen Iris - East,13.6,14.2,14.3,14.8,14.3
Hawthorn,21.8,22.6,22.9,23.2,22.3
Hawthorn East,13.6,14.2,14.4,15.4,14.7
Kew,21.1,21.8,21.9,22.2,21.6
Kew East,5.3,5.4,5.4,5.6,5.6
Surrey Hills (West) - Canterbury,13.1,13.3,13.3,13.5,13.1
Bulleen,8.1,8.4,8.3,8.6,8.5
Doncaster,14.9,15.6,16.4,17.4,18
Templestowe,12.4,12.4,12.3,12.6,12.3
Templestowe Lower,9.5,9.8,9.9,9.9,9.8
Doncaster East (North),10.9,11.1,11.3,11.6,11.4
Doncaster East (South),9.5,9.7,9.9,10.4,10.6
Blackburn,16.6,17.2,17.6,18.2,18.1
Blackburn South,7.6,7.7,7.9,8.3,8.2
Box Hill,15.3,17,17.4,18,18.3
Box Hill North,13.3,13.7,14.1,14.8,14.5
Burwood,8.5,9.2,9.7,10.5,10.6
Burwood East,7.5,7.7,8.1,8.2,8.3
Surrey Hills (East) - Mont Albert,8.3,8.5,8.6,8.8,8.6
Beaumaris,10.4,10.7,10.9,11,10.7
Brighton (Vic.),18.1,18.5,18.5,18.8,18.1
Brighton East,12.1,12.3,12.5,12.7,12.5
Cheltenham - Highett (West),8.9,9.5,9.6,10.2,9.9
Hampton,13.9,14.2,14.3,14.7,14.7
Sandringham - Black Rock,12.8,13.2,13.3,13.9,13.6
Bentleigh - McKinnon,17.6,18.4,19,20.3,20.1
Carnegie,15.1,15.7,16.3,17,17.3
Caulfield - North,18,18.8,19.7,20.3,19.9
Caulfield - South,14.7,15.1,15.2,15.4,15.3
Elsternwick,10.3,10.7,11,11.5,11.2
Hughesdale,6,6.3,6.3,6.4,6.5
Murrumbeena,7.9,8.3,8.5,8.8,8.4
Ormond - Glen Huntly,11.8,12.2,12.6,13.4,13
Bentleigh East (North),11.3,11.7,11.9,12.5,12.5
Bentleigh East (South),9.8,10.2,10.5,10.8,10.9
Aspendale Gardens - Waterways,7.1,7.3,7.3,7.4,7.2
Braeside,0.2,0.2,0.2,0.2,0.1
Carrum - Patterson Lakes,9.2,9.6,9.4,9.6,9.5
Chelsea - Bonbeach,11,11.5,11.7,12.1,11.8
Chelsea Heights,4.1,4.2,4.2,4.3,4.2
Cheltenham - Highett (East),17.3,18.3,18.7,19.6,19.4
Edithvale - Aspendale,10.3,10.4,10.8,11,11
Mentone,10.6,11,11.2,11.3,11.2
Moorabbin - Heatherton,7,7.2,7.4,7.6,7.5
Moorabbin Airport,np,0,0,0,0
Mordialloc - Parkdale,16.2,16.5,17,17.4,17.3
Malvern - Glen Iris,17.4,18,18.4,18.7,18.4
Malvern East,17.3,18,18.3,19,18.9
Bundoora - East,7.2,7.3,7.5,7.7,7.7
Greensborough,16.4,16.9,16.9,17.1,16.6
Heidelberg - Rosanna,11.8,12.2,12.5,12.9,12.6
Heidelberg West,10.6,11.2,11.7,12.3,12.4
Ivanhoe,9.8,10.5,10.9,11.1,10.8
Ivanhoe East - Eaglemont,6.6,6.8,6.8,6.9,6.7
Montmorency - Briar Hill,13,13.1,13.2,13.3,12.8
Viewbank - Yallambie,13.6,14,13.9,14.4,14
Watsonia,6.9,7.1,7.2,7.4,7.1
Kingsbury,7.6,8.2,8.7,9.3,9.2
Reservoir - East,19.7,21,22.2,23.3,23
Reservoir - West,17.4,18.7,19.1,19.6,19.2
Preston - East,16.5,18,18.6,19.6,19.1
Preston - West,10.3,10.9,11.3,11.7,11.6
Eltham,19.8,19.9,19.9,20.1,19.3
Hurstbridge,3,3.1,3.1,3,3
Kinglake,3.1,3.2,3.1,3.3,3.3
Panton Hill - St Andrews,4.3,4.3,4.4,4.4,4.2
Plenty - Yarrambat,7.7,7.9,7.9,8,7.8
Research - North Warrandyte,5.5,5.7,5.7,5.7,5.7
Wattle Glen - Diamond Creek,11.7,12,12.1,12.3,12.2
Bundoora - North,5.2,5.7,6,6.1,6
Bundoora - West,4.4,4.8,4.7,4.9,4.9
Lalor,13.8,14.6,15.5,16,15.9
Mill Park - North,14.1,14.8,14.8,15.1,14.8
Mill Park - South,9.3,9.3,9.4,9.5,9
Thomastown,12.8,13.7,14.1,14.8,14.6
Wallan,12.4,13.7,14.3,15.5,16.2
Whittlesea,5.9,6.1,6.2,6.4,6.7
Doreen,15.5,16.9,18,19.3,20
Epping - East,9.5,10,10.2,10.3,9.9
Epping - South,6.1,6.4,6.4,6.5,6.3
Epping - West,7.9,8.4,8.8,9.1,9
Mernda,12.3,14.4,15.7,17,17.7
South Morang (North),9.3,9.8,10.2,10.5,10.3
South Morang (South),9,9.5,9.6,10,10
Wollert,6.5,8.3,9.5,11.7,14.5
Airport West,5.7,6.1,6.2,6.5,6.6
Essendon Airport,np,0,0,0,0
Keilor,6.6,6.8,6.9,6.8,6.6
Keilor East,18.2,18.8,19,19.7,19.3
Niddrie - Essendon West,5.7,5.9,6,6,6.2
Strathmore,7.8,8,8.1,8.4,8.3
Gisborne,10,10.4,10.3,10.7,10.7
Macedon,2.6,2.7,2.7,2.7,2.6
Riddells Creek,3.4,3.5,3.5,3.6,3.5
Romsey,7.2,7.5,7.8,8.1,8.2
Coburg North,6.2,6.9,7.1,7.5,7.3
Fawkner,8.3,9,9.7,10.2,10.2
Pascoe Vale,18.6,20.1,20.7,22.2,22.2
Glenroy,16.2,17.7,18.6,20.1,20.7
Gowanbrae,2.3,2.4,2.4,2.5,2.4
Hadfield,3.5,3.8,4,4.3,4.3
Sunbury,10.1,10.5,10.7,11.1,10.8
Sunbury - South,20.7,22,23,24.4,24.5
Broadmeadows,7.1,8,8.6,9.4,9.5
Campbellfield - Coolaroo,8,8.5,8.9,9.4,9.1
Gladstone Park - Westmeadows,13.2,13.4,13.7,13.7,13.4
Greenvale - Bulla,12.8,14.1,14.7,15.3,15.7
Meadow Heights,7.5,7.9,8.1,8.5,8.3
Melbourne Airport,0.1,0.1,0.1,0.1,0.1
Roxburgh Park - Somerton,12.2,13.2,13.8,14.8,14.8
Tullamarine,5,5,5.2,5.2,5
Craigieburn - Central,6.1,6.4,6.4,6.6,6.2
Craigieburn - North,8,8.9,9.5,9.9,9.5
Craigieburn - South,11.8,13,14,14.7,15
Craigieburn - West,9.5,11,12.3,13.8,14.9
Mickleham - Yuroke,2.6,4.3,6.6,9.7,13.5
Bayswater,9.6,9.8,10.2,10.3,10.2
Knoxfield - Scoresby,11.6,12.4,12.8,13.5,13.2
Lysterfield,5.8,5.9,5.8,6,5.7
Rowville - Central,12.8,12.9,12.8,13.1,12.9
Rowville - North,6.4,6.6,6.6,6.7,6.5
Rowville - South,8.9,9.3,9.2,9.3,9
Wantirna,10.9,11,11.1,11.3,11
Wantirna South,14.1,14.2,14.4,14.5,14.4
Boronia,17.3,17.8,18.1,18.6,18.3
Ferntree Gully (North),10.8,11.2,11.1,11.5,11
Ferntree Gully (South) - Upper Ferntree Gully,12.1,12.4,12.5,13,12.6
The Basin,3.5,3.7,3.6,3.6,3.6
Donvale - Park Orchards,12.3,12.5,12.6,12.8,12.7
Warrandyte - Wonga Park,8.7,8.5,8.5,8.6,8.3
Bayswater North,9.4,9.7,9.9,10.1,9.7
Croydon Hills - Warranwood,15.6,15.7,15.6,15.6,15.2
Ringwood,13.3,13.9,14.5,15,14.9
Ringwood East,15.9,16.5,16.8,17.1,16.7
Ringwood North,7.9,8,7.9,7.9,7.6
Croydon - East,11.5,12.1,12.1,12.5,12.4
Croydon - West,9.9,10.2,10.4,10.6,10.7
Croydon South,3.6,3.6,3.7,3.8,3.8
Forest Hill,7.8,7.9,8,8.3,8.2
Mitcham (Vic.),13,13.5,13.7,14.2,14.1
Nunawading,8.9,9.5,9.6,9.9,9.9
Vermont,7.8,8,8.1,8.3,8.1
Vermont South,8.6,8.8,8.7,9.1,8.9
Belgrave - Selby,8.4,8.7,8.5,8.9,8.5
Chirnside Park,7.9,8.4,8.8,9,9
Healesville - Yarra Glen,10.5,10.8,11,11.3,11
Kilsyth,6.9,7,7.1,7.3,7.3
Lilydale - Coldstream,15.2,15.7,15.6,15.7,15.4
Monbulk - Silvan,4.6,4.9,4.9,4.9,4.7
Montrose,5.5,5.5,5.5,5.5,5.4
Mooroolbark,17.7,18.2,18.3,18.7,18.4
Mount Dandenong - Olinda,8.2,8.2,8.2,8.2,8.1
Mount Evelyn,7.9,8.1,8.1,8.3,8.1
