 Area,"Agriculture, forestry and fishing",Mining,Manufacturing,"Electricity, gas, water and waste services",Construction,Wholesale trade,Retail trade,Accommodation and food services,"Transport, postal and warehousing",Information media and telecommunications,Finance and insurance services,"Rental, hiring and real estate services","Professional, scientific and technical services",Administrative and support services,Public administration and safety,Education and training,Health care and social assistance,Arts and recreation services,Other services,Total
Alfredton,0.1,0.1,0.7,0.1,0.7,0.3,1.2,1,0.3,0.2,0.4,0.2,0.6,0.6,0.7,1.2,1.9,0.2,0.2,10.8
Ballarat,0.1,0,0.4,0.1,0.4,0.2,0.8,0.9,0.2,0.1,0.3,0.1,0.6,0.6,0.6,1.3,1.7,0.2,0.2,9.1
Ballarat - North,0.2,0.1,1,0.1,1.1,0.4,1.7,1.4,0.4,0.3,0.5,0.2,0.9,1.1,1.1,2.2,2.8,0.4,0.4,16.8
Ballarat - South,0.2,0.1,1,0.1,1.1,0.4,2,1.7,0.4,0.2,0.5,0.2,0.9,1.3,1,1.6,2.8,0.4,0.5,16.7
Buninyong,0.1,0,0.3,0,0.3,0.1,0.5,0.4,0.1,0.1,0.2,0.1,0.4,0.3,0.3,0.8,0.8,0.1,0.1,5
Delacombe,0.1,0.1,0.5,0.1,0.5,0.2,0.8,0.5,0.2,0.1,0.2,0.1,0.3,0.5,0.4,0.5,1.1,0.1,0.2,6.6
Smythes Creek,0.1,0,0.3,0,0.3,0.1,0.3,0.2,0.1,0,0.1,0,0.1,0.2,0.2,0.3,0.5,0.1,0.1,3
Wendouree - Miners Rest,0.2,0,0.8,0.1,0.7,0.3,1.1,0.8,0.4,0.1,0.3,0.1,0.4,0.7,0.6,0.7,1.4,0.3,0.3,9.4
Bacchus Marsh Region,0.1,0,0.2,0,0.5,0.2,0.3,0.3,0.3,0,0.2,0.1,0.2,0.3,0.4,0.3,0.5,0.1,0.2,4.4
Creswick - Clunes,0.3,0,0.3,0,0.3,0.2,0.4,0.4,0.2,0.1,0.2,0.1,0.2,0.3,0.3,0.5,0.8,0.2,0.2,5
Daylesford,0.2,0,0.3,0,0.3,0.2,0.5,0.9,0.2,0.1,0.2,0.1,0.3,0.4,0.5,0.6,0.8,0.1,0.1,5.9
Gordon (Vic.),0.3,0,0.2,0,0.4,0.1,0.3,0.2,0.2,0,0.1,0.1,0.3,0.3,0.3,0.4,0.5,0.1,0.1,4.2
Avoca,0.3,0,0.2,0,0.1,0.1,0.1,0.1,0.1,0,0.1,0,0.1,0.1,0.2,0.1,0.3,0,0,1.9
Beaufort,0.3,0,0.2,0,0.2,0.1,0.2,0.2,0.1,0,0.1,0,0.1,0.2,0.2,0.2,0.3,0.1,0.1,2.7
Golden Plains - North,0.2,0,0.2,0,0.3,0.1,0.3,0.2,0.1,0,0.1,0,0.1,0.2,0.2,0.2,0.4,0.1,0.1,3.1
Maryborough (Vic.),0.1,0,0.6,0,0.2,0.1,0.5,0.3,0.2,0,0.1,0,0.1,0.2,0.3,0.4,0.6,0.1,0.1,4
Maryborough Region,0.3,0,0.3,0,0.1,0.1,0.3,0.2,0.1,0,0.1,0,0.1,0.2,0.2,0.2,0.4,0.1,0.1,2.8
Bendigo,0.1,0.1,0.9,0.1,0.5,0.2,1,1.1,0.3,0.1,0.4,0.1,0.4,0.9,0.6,0.9,2,0.2,0.3,10.2
California Gully - Eaglehawk,0.1,0.1,0.9,0.1,0.6,0.2,0.8,0.7,0.3,0.1,0.3,0.1,0.2,0.7,0.4,0.6,1.4,0.2,0.3,8.2
East Bendigo - Kennington,0.1,0.1,0.6,0.1,0.5,0.2,0.9,0.9,0.2,0.1,0.5,0.1,0.4,0.6,0.6,1,1.6,0.2,0.2,9.4
Flora Hill - Spring Gully,0.1,0.1,0.4,0.1,0.4,0.1,0.7,0.7,0.1,0.1,0.3,0.1,0.3,0.5,0.5,0.8,1.2,0.2,0.2,6.8
Kangaroo Flat - Golden Square,0.2,0.2,1.5,0.1,0.9,0.3,1.5,1.1,0.4,0.1,0.6,0.1,0.5,1.1,0.8,1,2,0.2,0.4,13.4
Maiden Gully,0.1,0.1,0.3,0,0.3,0.1,0.5,0.3,0.1,0,0.2,0,0.2,0.3,0.3,0.4,0.6,0.1,0.1,4
Strathfieldsaye,0.1,0.1,0.4,0.1,0.5,0.2,0.7,0.6,0.2,0.1,0.5,0.1,0.3,0.4,0.5,0.9,1.2,0.2,0.2,7.2
White Hills - Ascot,0.2,0.3,0.9,0.1,0.7,0.3,1,0.9,0.3,0.1,0.4,0.1,0.3,0.7,0.5,0.7,1.6,0.2,0.3,9.8
Bendigo Region - South,0.2,0.1,0.5,0.1,0.5,0.1,0.6,0.4,0.2,0,0.2,0.1,0.2,0.4,0.4,0.5,0.8,0.1,0.2,5.7
Castlemaine,0.1,0,0.7,0,0.2,0.1,0.6,0.5,0.2,0.1,0.2,0.1,0.3,0.4,0.5,0.8,1,0.2,0.2,6.4
Castlemaine Region,0.3,0.1,0.5,0,0.3,0.1,0.5,0.3,0.2,0.1,0.2,0.1,0.3,0.3,0.4,0.5,0.9,0.1,0.2,5.5
Heathcote,0.1,0.1,0.2,0,0.2,0.1,0.3,0.1,0.1,0,0.1,0,0.1,0.2,0.2,0.2,0.4,0,0.1,2.7
Kyneton,0.2,0,0.4,0,0.4,0.2,0.6,0.5,0.3,0.1,0.3,0.1,0.4,0.8,0.5,0.7,0.9,0.2,0.2,7
Woodend,0.1,0,0.3,0.1,0.3,0.2,0.4,0.3,0.2,0.1,0.2,0.1,0.5,0.3,0.4,0.6,0.7,0.1,0.1,5.1
Bendigo Region - North,0.2,0.1,0.3,0,0.2,0.1,0.3,0.2,0.1,0,0.1,0,0.1,0.2,0.1,0.2,0.4,0.1,0.1,3
Loddon,0.6,0,0.4,0,0.2,0.1,0.3,0.2,0.1,0,0.1,0,0.1,0.2,0.3,0.3,0.5,0.1,0.1,3.8
Bannockburn,0.1,0,0.3,0.1,0.5,0.2,0.6,0.3,0.2,0,0.2,0.1,0.3,0.4,0.3,0.4,0.7,0.1,0.2,5.2
Golden Plains - South,0.4,0,0.3,0.1,0.5,0.3,0.4,0.3,0.2,0,0.2,0.1,0.3,0.4,0.4,0.4,0.7,0.1,0.2,5.5
Winchelsea,0.3,0,0.2,0,0.4,0.2,0.4,0.4,0.2,0,0.1,0.1,0.3,0.3,0.2,0.4,0.5,0.1,0.1,4.4
Belmont,0.1,0,0.5,0.1,0.7,0.3,1.2,1.1,0.3,0.1,0.5,0.2,0.6,1.1,0.6,1.3,1.6,0.3,0.4,11
