Area,2015-16,2016-17,2017-18,2018-19,2019-20,Lga
Alfredton,9,9.8,10.2,11,11.8,Ballarat
Ballarat,9.8,9.9,9.8,10.2,10.2,Ballarat
Ballarat - North,17.1,17.7,18,18.6,18.6,Ballarat
Ballarat - South,16.1,16.9,17.2,18.3,18.1,Ballarat
Buninyong,5.2,5.4,5.4,5.6,5.6,Ballarat
Delacombe,5.2,5.5,5.8,6.6,7.2,Ballarat
Smythes Creek,3.2,3.3,3.3,3.5,3.4,Ballarat
Wendouree - Miners Rest,9.1,9.3,9.6,10,10.2,Ballarat
Bacchus Marsh Region,4.5,4.9,4.9,5,5,Moorabool
Creswick - Clunes,5.5,5.8,5.7,6,6,Hepburn
Daylesford,6.7,7.1,7,7.2,7.4,Hepburn
Gordon (Vic.),4.5,4.8,5,5.1,5,Pyrenees
Avoca,2.4,2.4,2.5,2.5,2.4,Pyrenees
Beaufort,2.9,3.1,3.1,3.3,3.3,Pyrenees
Golden Plains - North,3.1,3.3,3.4,3.6,3.5,Golden Plains
Maryborough (Vic.),4.3,4.4,4.6,4.6,4.5,Central Goldfields
Maryborough Region,3.3,3.4,3.5,3.5,3.4,Central Goldfields
Bendigo,11.2,11,11.2,11.4,11.2,Greater Bendigo
California Gully - Eaglehawk,8,8.5,8.6,8.9,8.9,Greater Bendigo
East Bendigo - Kennington,9.7,10.3,10.2,10.6,10.3,Greater Bendigo
Flora Hill - Spring Gully,6.9,7.2,7.4,7.5,7.4,Greater Bendigo
Kangaroo Flat - Golden Square,13.6,14.1,14.1,14.5,14.6,Greater Bendigo
Maiden Gully,4.1,4.1,4.2,4.4,4.5,Greater Bendigo
Strathfieldsaye,6.8,7.3,7.3,7.8,8,Greater Bendigo
White Hills - Ascot,9.1,9.8,10.1,10.6,10.7,Greater Bendigo
Bendigo Region - South,5.4,5.8,5.9,6.2,6.4,Greater Bendigo
Castlemaine,7.2,7.4,7.3,7.5,7.6,Mount Alexander
Castlemaine Region,6.1,6.4,6.6,6.9,7,Mount Alexander
Heathcote,2.8,3,3.1,3.1,3.2,Greater Bendigo
Kyneton,7.3,7.7,7.9,8.2,8.3,Macedon Ranges
Woodend,5.4,5.6,5.7,6,5.9,Macedon Ranges
Bendigo Region - North,3.2,3.4,3.5,3.6,3.6,Greater Geelong
Loddon,4.7,5,5,5,5,Loddon
Bannockburn,5,5.2,5.5,5.7,5.7,Golden Plains
Golden Plains - South,5.5,5.8,6,6.1,6.4,Golden Plains
Winchelsea,4.9,5.2,5.2,5.4,5.5,Golden Plains
Belmont,10.7,11.4,11.8,12,12.2,Greater Geelong
Corio - Norlane,15.3,16.3,17.1,17.7,17.8,Greater Geelong
Geelong,11,11.4,11.5,12,12.1,Greater Geelong
Geelong West - Hamlyn Heights,15.7,16.6,17.2,17.6,17.9,Greater Geelong
Grovedale,17.6,20.1,21.9,24.1,26.3,Greater Geelong
Highton,17,17.9,18.6,18.9,19.2,Greater Geelong
Lara,13.4,14,14.7,14.9,15.1,Greater Geelong
Leopold,9.5,10,10.1,10.1,10,Greater Geelong
Newcomb - Moolap,10.1,10.7,11,11.3,11.2,Greater Geelong
Newtown (Vic.),8.6,8.7,8.8,9.1,9,Greater Geelong
North Geelong - Bell Park,10.2,10.9,11.4,11.7,11.8,Greater Geelong
Clifton Springs,9.4,10.2,10.6,11,11.7,Greater Geelong
Lorne - Anglesea,4.2,4.3,4.3,4.5,4.6,Surf Coast
Ocean Grove - Barwon Heads,18.1,19.7,20.5,21.8,22.9,Greater Geelong
Portarlington,4.3,4.6,4.8,5.2,5.4,Greater Geelong
