 Area,"Agriculture, forestry and fishing",Mining,Manufacturing,"Electricity, gas, water and waste services",Construction,Wholesale trade,Retail trade,Accommodation and food services,"Transport, postal and warehousing",Information media and telecommunications,Finance and insurance services,"Rental, hiring and real estate services","Professional, scientific and technical services",Administrative and support services,Public administration and safety,Education and training,Health care and social assistance,Arts and recreation services,Other services,Total,Lga
Alfredton,0.1,0.1,0.7,0.1,0.7,0.3,1.2,1,0.3,0.2,0.4,0.2,0.6,0.6,0.7,1.2,1.9,0.2,0.2,10.8,Ballarat
Ballarat,0.1,0,0.4,0.1,0.4,0.2,0.8,0.9,0.2,0.1,0.3,0.1,0.6,0.6,0.6,1.3,1.7,0.2,0.2,9.1,Ballarat
Ballarat - North,0.2,0.1,1,0.1,1.1,0.4,1.7,1.4,0.4,0.3,0.5,0.2,0.9,1.1,1.1,2.2,2.8,0.4,0.4,16.8,Ballarat
Ballarat - South,0.2,0.1,1,0.1,1.1,0.4,2,1.7,0.4,0.2,0.5,0.2,0.9,1.3,1,1.6,2.8,0.4,0.5,16.7,Ballarat
Buninyong,0.1,0,0.3,0,0.3,0.1,0.5,0.4,0.1,0.1,0.2,0.1,0.4,0.3,0.3,0.8,0.8,0.1,0.1,5,Ballarat
Delacombe,0.1,0.1,0.5,0.1,0.5,0.2,0.8,0.5,0.2,0.1,0.2,0.1,0.3,0.5,0.4,0.5,1.1,0.1,0.2,6.6,Ballarat
Smythes Creek,0.1,0,0.3,0,0.3,0.1,0.3,0.2,0.1,0,0.1,0,0.1,0.2,0.2,0.3,0.5,0.1,0.1,3,Ballarat
Wendouree - Miners Rest,0.2,0,0.8,0.1,0.7,0.3,1.1,0.8,0.4,0.1,0.3,0.1,0.4,0.7,0.6,0.7,1.4,0.3,0.3,9.4,Ballarat
Bacchus Marsh Region,0.1,0,0.2,0,0.5,0.2,0.3,0.3,0.3,0,0.2,0.1,0.2,0.3,0.4,0.3,0.5,0.1,0.2,4.4,Moorabool
Creswick - Clunes,0.3,0,0.3,0,0.3,0.2,0.4,0.4,0.2,0.1,0.2,0.1,0.2,0.3,0.3,0.5,0.8,0.2,0.2,5,Hepburn
Daylesford,0.2,0,0.3,0,0.3,0.2,0.5,0.9,0.2,0.1,0.2,0.1,0.3,0.4,0.5,0.6,0.8,0.1,0.1,5.9,Hepburn
Gordon (Vic.),0.3,0,0.2,0,0.4,0.1,0.3,0.2,0.2,0,0.1,0.1,0.3,0.3,0.3,0.4,0.5,0.1,0.1,4.2,Pyrenees
Avoca,0.3,0,0.2,0,0.1,0.1,0.1,0.1,0.1,0,0.1,0,0.1,0.1,0.2,0.1,0.3,0,0,1.9,Pyrenees
Beaufort,0.3,0,0.2,0,0.2,0.1,0.2,0.2,0.1,0,0.1,0,0.1,0.2,0.2,0.2,0.3,0.1,0.1,2.7,Pyrenees
Golden Plains - North,0.2,0,0.2,0,0.3,0.1,0.3,0.2,0.1,0,0.1,0,0.1,0.2,0.2,0.2,0.4,0.1,0.1,3.1,Golden Plains
Maryborough (Vic.),0.1,0,0.6,0,0.2,0.1,0.5,0.3,0.2,0,0.1,0,0.1,0.2,0.3,0.4,0.6,0.1,0.1,4,Central Goldfields
Maryborough Region,0.3,0,0.3,0,0.1,0.1,0.3,0.2,0.1,0,0.1,0,0.1,0.2,0.2,0.2,0.4,0.1,0.1,2.8,Central Goldfields
Bendigo,0.1,0.1,0.9,0.1,0.5,0.2,1,1.1,0.3,0.1,0.4,0.1,0.4,0.9,0.6,0.9,2,0.2,0.3,10.2,Greater Bendigo
California Gully - Eaglehawk,0.1,0.1,0.9,0.1,0.6,0.2,0.8,0.7,0.3,0.1,0.3,0.1,0.2,0.7,0.4,0.6,1.4,0.2,0.3,8.2,Greater Bendigo
East Bendigo - Kennington,0.1,0.1,0.6,0.1,0.5,0.2,0.9,0.9,0.2,0.1,0.5,0.1,0.4,0.6,0.6,1,1.6,0.2,0.2,9.4,Greater Bendigo
Flora Hill - Spring Gully,0.1,0.1,0.4,0.1,0.4,0.1,0.7,0.7,0.1,0.1,0.3,0.1,0.3,0.5,0.5,0.8,1.2,0.2,0.2,6.8,Greater Bendigo
Kangaroo Flat - Golden Square,0.2,0.2,1.5,0.1,0.9,0.3,1.5,1.1,0.4,0.1,0.6,0.1,0.5,1.1,0.8,1,2,0.2,0.4,13.4,Greater Bendigo
Maiden Gully,0.1,0.1,0.3,0,0.3,0.1,0.5,0.3,0.1,0,0.2,0,0.2,0.3,0.3,0.4,0.6,0.1,0.1,4,Greater Bendigo
Strathfieldsaye,0.1,0.1,0.4,0.1,0.5,0.2,0.7,0.6,0.2,0.1,0.5,0.1,0.3,0.4,0.5,0.9,1.2,0.2,0.2,7.2,Greater Bendigo
White Hills - Ascot,0.2,0.3,0.9,0.1,0.7,0.3,1,0.9,0.3,0.1,0.4,0.1,0.3,0.7,0.5,0.7,1.6,0.2,0.3,9.8,Greater Bendigo
Bendigo Region - South,0.2,0.1,0.5,0.1,0.5,0.1,0.6,0.4,0.2,0,0.2,0.1,0.2,0.4,0.4,0.5,0.8,0.1,0.2,5.7,Greater Bendigo
Castlemaine,0.1,0,0.7,0,0.2,0.1,0.6,0.5,0.2,0.1,0.2,0.1,0.3,0.4,0.5,0.8,1,0.2,0.2,6.4,Mount Alexander
Castlemaine Region,0.3,0.1,0.5,0,0.3,0.1,0.5,0.3,0.2,0.1,0.2,0.1,0.3,0.3,0.4,0.5,0.9,0.1,0.2,5.5,Mount Alexander
Heathcote,0.1,0.1,0.2,0,0.2,0.1,0.3,0.1,0.1,0,0.1,0,0.1,0.2,0.2,0.2,0.4,0,0.1,2.7,Greater Bendigo
Kyneton,0.2,0,0.4,0,0.4,0.2,0.6,0.5,0.3,0.1,0.3,0.1,0.4,0.8,0.5,0.7,0.9,0.2,0.2,7,Macedon Ranges
