LGA Code,LGA Name,2011_persons,2011_births,2011_rate,2012_persons,2012_births,2012_rate,2013_persons,2013_births,2013_rate,2014_persons,2014_births,2014_rate,2015_persons,2015_births,2015_rate,2016_persons,2016_births,2016_rate,2017_persons,2017_births,2017_rate,2018_persons,2018_births,2018_rate,2019_persons,2019_births,2019_rate,2020_persons,2020_births,2020_rate,2021_persons,2021_births,2021_rate
20110,Alpine,12068.0,89.0,7.374875704342061,12183.0,108.0,8.864811622753017,12283.0,86.0,1.8,12355.0,87.0,1.78,12429.0,99.0,1.72,12578.0,97.0,1.77,12679.0,118.0,1.91,12807.0,93.0,1.79,12884.0,95.0,1.71,13028.0,92.0,1.51,13156.0,109.0,1.58
20260,Ararat,11326.0,111.0,9.800459120607453,11400.0,126.0,11.052631578947368,11490.0,116.0,2.24,11560.0,113.0,2.25,11644.0,108.0,2.1,11745.0,112.0,2.06,11790.0,124.0,2.1,11792.0,101.0,2.03,11822.0,125.0,2.03,11896.0,105.0,1.86,11821.0,103.0,1.84
20570,Ballarat,95185.0,1209.0,12.7015811314808,96728.0,1323.0,13.67752874038541,98344.0,1357.0,1.99,99914.0,1258.0,1.98,101479.0,1288.0,1.93,103500.0,1367.0,1.91,105498.0,1409.0,1.94,107518.0,1264.0,1.89,109650.0,1297.0,1.81,111476.0,1225.0,1.69,113482.0,1358.0,1.7
20660,Banyule,122983.0,1726.0,14.034460047323615,123584.0,1645.0,13.310784567581564,124314.0,1635.0,1.91,125107.0,1594.0,1.85,126088.0,1532.0,1.79,127447.0,1757.0,1.83,128601.0,1628.0,1.82,129548.0,1572.0,1.82,130478.0,1513.0,1.7,130121.0,1369.0,1.6,127376.0,1413.0,1.55
20740,Bass Coast,30233.0,365.0,12.072900472993087,30811.0,344.0,11.164843724643795,31331.0,302.0,2.29,31917.0,362.0,2.26,32576.0,285.0,2.11,33464.0,341.0,2.16,34726.0,367.0,2.1,36041.0,353.0,2.14,37382.0,297.0,1.95,38869.0,295.0,1.73,40641.0,370.0,1.7
20830,Baw Baw,43389.0,515.0,11.869367812118279,44506.0,529.0,11.886037837594932,45627.0,524.0,2.09,46644.0,552.0,2.09,47837.0,544.0,2.05,49296.0,653.0,2.14,50852.0,625.0,2.14,52392.0,623.0,2.12,53970.0,653.0,2.01,55647.0,619.0,1.91,57580.0,726.0,1.92
20910,Bayside (Vic.),96119.0,948.0,9.86277426939523,96971.0,927.0,9.559559043425354,98252.0,935.0,1.75,99797.0,979.0,1.77,101268.0,907.0,1.73,102912.0,962.0,1.72,103621.0,956.0,1.69,104545.0,892.0,1.67,105029.0,846.0,1.6,104881.0,791.0,1.51,102337.0,851.0,1.54
21010,Benalla,13818.0,105.0,7.598784194528876,13849.0,143.0,10.325655281969818,13878.0,134.0,1.98,13898.0,140.0,2.13,13923.0,120.0,1.99,13982.0,123.0,1.92,14041.0,136.0,1.88,14145.0,164.0,2.06,14219.0,125.0,2.04,14358.0,129.0,1.98,14431.0,136.0,1.86
21110,Boroondara,167062.0,1561.0,9.343836420011732,168483.0,1576.0,9.354059460004867,170485.0,1511.0,1.41,172660.0,1455.0,1.36,174753.0,1522.0,1.32,177276.0,1635.0,1.34,178591.0,1520.0,1.34,179295.0,1392.0,1.29,179547.0,1413.0,1.23,177722.0,1236.0,1.16,169901.0,1228.0,1.15
21180,Brimbank,191496.0,2812.0,14.684379830388103,193774.0,3036.0,15.66773664165471,196169.0,2822.0,1.95,198468.0,2806.0,1.93,200860.0,2818.0,1.87,204190.0,3065.0,1.9,206036.0,2964.0,1.91,206849.0,2812.0,1.9,206611.0,2584.0,1.8,203999.0,2399.0,1.69,196712.0,2180.0,1.6
21270,Buloke,6465.0,42.0,6.496519721577727,6434.0,52.0,8.082064034815044,6388.0,55.0,1.97,6335.0,52.0,2.14,6306.0,60.0,2.24,6284.0,49.0,2.22,6218.0,51.0,2.2,6208.0,51.0,2.12,6159.0,58.0,2.2,6146.0,64.0,2.35,6130.0,62.0,2.43
21370,Campaspe,36855.0,408.0,11.070411070411069,37041.0,431.0,11.63575497421776,37213.0,447.0,2.3,37338.0,428.0,2.32,37429.0,408.0,2.26,37595.0,430.0,2.21,37780.0,397.0,2.14,37913.0,395.0,2.08,38084.0,391.0,1.97,38317.0,384.0,1.92,38545.0,396.0,1.93
